Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To
"Here's a way to ""earn while you learn","ttrade stocks , supplement income","March 21st, 2019",10.04pm,na,click here eatch his video,"earn, income",Y,Y,na,Y,na,B
ÊPreliminary CD Package Has Been Generated,Your documents s can be retrieved at,"ÊMarch 20th, 2019",12.48pm,wed,Doc Link,package,Y,Y,Sincerely,Y,na,B
Audio Received From,ms voice audio,"March 20th, 2019",7.52AM,wed,na,attachment,Y,y,Yours in Servic,Y,na,B
Instant Action Requested From You,You have the spot reserved but we need you to complete your activation now,"March 19th, 2019",8.00AM EDT,na,activation now,"requested, immidiately, confirm, activation",Y,Y,Thanks,Y,na,B
ÊYou've 2 Voicemail,voice message for you,"March 15th, 2019",12.08pm,fri,VoiceMessage.way,"message, ",Y,Y,Regards,Y,Office 365,B
Regarding Job,job possition apply,"March 15th, 2019",8.47AM,fri,na,"job, employment,",Y,Y,"Best regards,",Y,na,B
Ref:,most of your incoming email due to your mail session expiration ,"March 13th, 2019",1.30PM,wed,clickhere,"expiration, upgrade, re-validation, pending",Y,Y,"Best Regards,",Y,na,B
no subject,You received VM from,"March 13th, 2019",12.14PM,wed,Play Audio-26,na,na,na,na,na,na,B
"Good day,",na,"March 13th, 2019",6.00PM,wed,na,"payment, deceived",Y,Y,Thanks,Y,na,B
(Your Requested Username for jobs.kent.edu),your requested username for jons.kent,"March 12th, 2019",10.56am,tue,Display full email,request,Y,y,na,Y,na,B
Your February account statement is available.,account statement available,"March 12th, 2019",9.12pm,na,view statement,"acount, statement, access, ",Y,Y,na,Y,Paypal,B
Opcuanet - (Annual Conference Topic Suggestions),doc link,"March 12th, 2019",1.10pm,tue,display full email,"conference, education",Y,Y,na,Y,na,B
ÊIntuit Support: Action Required,Your bank retuned the direct deposit for the payroll,"March 12th, 2019",2.29pm,tue,na,"action, required, payroll, bank",Y,Y,na,Y,na,B
ÊCc: (RE: Workshop at John Carroll University this Saturday),link for email opning,"March 12th, 2019",8.20am,tue,display full email,workshop,na,na,na,na,na,B
ATC/PTA Program,see attached below,"March 12th, 2019",2.08pm,tue,Lawsui case file: CF-416523.pdf,progran,Y,Y,na,Y,na,B
message notification,one drive ,"March 11th, 2019",3.02pm,mon,go to onedrive,"notification, file",Y,Y,na,Y,one drive,B
Lesson Coach Needed,looking for hiring coach,"March 11th, 2019",12.13pm,mon,na,"job, needed, hire, available",Y,Y,Regard,Y,na,B
INVOICE#89774-DOC,one drive message,"ÊMarch 11th, 2019",9.11am,mon,reqeest link,"invoice, shared",Y,Y,na,Y,na,B
Re: Correct shipment info needed.,"package, delivery address, seems incorrect","March 11th, 2019",8.11am,mon,delivery address from,"shipment, incorrect, delivery",Y,Y,na,Y,na,B
Action required: Confirm your info to keep a PayPal Balance,paymal money sending issue,"March 10th, 2019",02.00AM EST,na,confirm your info here,"required, cofirm, action, money, account",Y,Y,na,Y,na,B
You have new Google Drive Doc message,shared document,"March 9th, 2019",11.52AM,sat,view document,"file, share,docx",Y,Y,na,Y,Google Drive,B
Your Earning For March 2019.,payroll earning statement for direct deposit available,"March 8th, 2019",5.13AM,fri,na,"payroll, statement, admin",Y,Y,na,Y,na,B
1KH0/613FV1/USA,cancel surgery,"March 7th, 2019",4.38PM,thur,na,diseases,Y,Y,Yours ,Y,na,B
Call Delivery note from Trusted Source,new voice ,"March 7th, 2019",9.17am,thur,Download,"file, share,docx",Y,Y,na,Y,na,B
View Secure PDF,has sent you your important document,"March 7th, 2019",8.03am,thur,view in one drive,"secure, review",na,Y,Regards,Y,na,B
ÊListen to Voicenote,voicemessage notification,"March 7th, 2019",12.42am,thur,na,notification,Y,Y,na,Y,na,B
Terms of Service.,your document has been completed,"ÊMarch 7th, 2019",1.41pm,wed,view complete document,"closing, attachment",na,na,na,na,na,B
Preliminary CD and Other Closing Docs Attached Closing Set for 03/08/2019,your document has been completed,"ÊMarch 7th, 2019",1.41pm,wed,view complete document,"closing, attachment",na,na,na,na,na,B
Notification,ms verification alert,"March 6th, 2019",9.43am,wed,na,"verification, notification, update, account, deleted,",Y,Y,Regards!,Y,na,B
Urgent Account Notice,your mailboc failed to sync,"March 5th, 2019",5.20am,tue,URL Redacted,"urgent, notice, account, failed, password, ",Y,Y,na,Y,na,B
YOUR DIPLOMATIC PACKAGE,"package deposit, realiability","March 3rd, 2019",5.22am,sun,na,"notify, package, ",Y,Y,"Thank you and I sincerely Remain,",Y,na,B
Payroll Earning Statement for March 2019,"earning statement, parroll website","March 1st, 2019",5.56am,fri,URL Redacted,"account, payroll, statement, employee",na,na,na,na,na,B
Êsent you a document to review and sign,document,"February 28th, 2019",11.27am,thur,review document,"review, sign",na,na,na,na,DocuSign,B
Email Notification ( Treat Urgent ),email account recently signed,"ÊFebruary 27th, 2019",12.43pm,fri,plick click here for verication to avoid ,notification,na,na,na,na,na,B
(Secure Message) Re: Reminder : invoice 81736265,secure email,"February 26th, 2019",15.13 EST,na,open secure email,"invoice, secure",Y,Y,Y,Y,na,B
Ê(Secure Email) Re: Open Invoice MR87103,secure email,"February 26th, 2019",9.47am,tue,open secure email,"secure, invoice",Y,Y,Y,Y,na,B
"[Reminder] Messages Delayed on kent.edu Email Account Today, 26 Feb 2019. Acc Id:22683aBHnH",doc attached,"February 26th, 2019",12.29pm,tue,confirm,"confirm, delay",Y,Y,Y,Y,office 365,B
Êimportant (re: Will you be one of the 15 for KSU student-athletes?),message attached,"February 26th, 2019",4.27am,tue,open message,"important, ",Y,Y,Y,Y,na,B
Tansaction Refund from Patti,refund confirmation,"February 22nd, 2019",2.59pm,fri,get RFF receipt,"refund, transaction, confirmation, payment",Y,Y,Y,Y,na,B
"Ê[IMPORTANCE] Password Verification on kent.edu Email Account Today, 22 Feb 2019. Acc Id:42775V65yf","one time confirmation,","February 22nd, 2019",11.26am,fri,confirm here,"verification, account, confirmation",Y,Y,Y,Y,microsoft,B
New Message from a Caller,voice message for you,"February 22nd, 2019",10.16am,fri,review audio,"message, ",Y,Y,Y,Y,na,B
Transaction for invoice 36726579,thanks for working with us,"February 21st, 2019",12.12pm,thur,link url,"transaction, payment, account, invoice",Y,Y,Y,Y,na, B
Purchasing Order #0361,this is purchasing order,"February 21st, 2019",11.53am,na,download,"purchasing, order, request",Y,Y,Thank you,Y,na,B
"Ian shared ""eVoice Message"" with you.",doc attached,"February 21st, 2019",2.30pm,thur,open,"shared, message",Y,Y,na,Y,Microsoft,B
Your incoming email delivery reports,email ,"February 20th, 2019",4.49pm,wed,na,report,Y,y,na,Y,na,B
new file,file,"February 20th, 2019",11.54am,wed,go to onedrive,review,Y,Y,na,Y,Microsoft,B
Invoice Due,file for invoice,"February 20th, 2019",11.26am,wed,go to onedrive,"review, sign",Y,Y,na,Y,Microsoft,B
Your incoming email delivery reports,file,"ÊFebruary 19th, 2019",7.20pm,tue,na,"delivery, report",Y,Y,na,Y,na,B
Notification Release Letter,filr,"February 19th, 2019",9.10am,tue,na,"notification, required, action, delayed",Y,Y,Na,Y,office365,B
URGENT,are you at office,"February 14th, 2019",3.59Pm,thur,na,"urgent,",Y,Y,na,Y,na,B
Payment from,this is your information today,"February 14th, 2019",7.45am,thur,URL Redacted,"payment,notice, ",na,na,"Best Regards,",na,na,B
Sales Contract PO:#224906999,2 new message,"February 12th, 2019",9.32am,tue,review ,"sales, review",Y,Y,thanks,Y,na,B
new bill from Ian,your bill is here,"February 12th, 2019",2.15pm,tue,invoice connect,"bill, ",Y,Y,thank you,Y,na,B
Re: Payment Invoice,please check your ,"February 12th, 2019",2.17am EST,na,na,"invoice, payment",Y,Y,Thank you,Y,na,B
KSU Infringement,"email has been reposted , regulation","February 9th, 2019",11.21am EST,na,URL Redacted,"reported, regulations, policies",Y,Y,Sincerely,Y,na,B
We recieved your request,request to deactivate,"January 29th, 2019",2.11pm,tue,cancel,"request, cancel, deactivate, ",Y,Y,na,Y,offcie 365,B
['URGENT postulation'],['Ar you available? No yell text only 9513072XXX'],1/9/20,na,na,na,Urgent,Y,"Chancellor
Berkeley University of California",['advantageously REGARDS'], cchristberkeley.edu@gmail.com,na,NB
['Speedy question'],"[""I ' m in a coming together and penury help draw some Amazon Gift Menu""]",1/9/20,na,na,na,Quick,Y,"University of California, Berkeley",['sodium'],XXX.subdomain.berkeley.edu,na,NB
['* * * * * * Role metre abode piece of work supporter need * * * * * *'],['Hello RECIPIENT I am urgently seeking for a Clerical / Administrative Assistant to work for me on campus at their own free time while Ace am away on my body of work and earn basic wage $ 250 weekly. This is a flexible job that requires little to no anterior experience. Let me know you are interested and I will fill you in.'],10/19/19,2:22 PM, Sat,na,Job/Needed,Y,"*Professor David Card*
*Department of Economics*
*530 Evans Hall #3880*
*University of California Berkeley*
*Berkeley, CA*",['Unfeignedly'],dvdmson @ gmail . Com,na,NB
['Ê trafficker payment'],['Are you around? Atomic number 53 need to give a seller with the blucard.'],"12/27/18
 ",na,na,na,"gift card, meeting",Y,"University of California, Berkeley",['atomic number 11'],ÊÊXXX.subdomain.berkeley.edu@gmail.com,na,NB
['Agile question'],"[""One ' m in a meeting and indigence help get some Virago Natural endowment Cards""]","12/27/18
 ",na,na,na,shared,Y,"University of California, Berkeley",['sodium'],XXX.subdomain.berkeley.edu,na,
['ÊXXX get shared a document on Google Docs with you'],['30 has invite you to view the following document:'],"5/3/2017
",na,na,Open in Docs,"invite, share",na,,['atomic number 11'],ÊXXX@berkeley.edu,na,BCC
['Substance from human resource'],['Dear XXXXX @ berkeley. edu (connect commit e - mail) An info document receive constitute sent to you by the Homo Resources Department. Click here to Login to reckon the document. Thank you!'],4/13/17,9:29:54 PM PDT,na,click here,HR,Y,"Berkeley University Of California HR Department
© 2017 The Regents of the University of California.  All rights reserved.",['Thank you'],HR@berkeley.edu,na,NB
['Library Account'],"['Dear Student, Your access to your library account is expiring soon due to inactivity. To extend to have admission to the library services, you must reactivate your account. For this purpose, fall into place the web address below or copy and paste it into your web web browser. A successful login will activate your account and you will be redirected to your library profile. https: / / auth. berkeley. edu / calcium / login? service = https% 3a% 2f% If you are not able to login, please contact <Name Removed> at xxxxx @ berkeley. edu (link sends e - mail) for immediate assistance.']",4/1/17,2:09 PM,Sat,plain url,"expiring soon, inactivity, ",Y,"University Library
University of California Berkeley","['Sincerely yours,']",na,na,NB
['Your Dropbox File'],"[""Hello, You just receive a file through Dropbox Share Covering. Please click below and log in to view indian file. Position file Every time a friend installs Dropbox, we ' ll give both of you i GB of space for free! Need even more space? Upgrade your Dropbox and get 1 TB (one, 000 GB) of space""]",1/30/17,na,Mon,view file,"file, dropbox",Y,The Dropbox Team,['Well chosen Dropboxing.'],sass@tamhsc.edu(link sends e-mail),Dropbox,B
['naan'],"['Dear Drug user, This message is to inform you that your access to bCourses will soon expire. You will give to login to your account to continue to have access to this service. You want to reactivate it just by logging in through the following URL. A successful login will trigger your account and you will be redirected to your bCourses page. http: / bcourses. berkeley. edu / login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm / If you are not able to login, please contact Danielle Patel at dapatel @ berkeley. edu (link sends e - post) for immediate assistance.']",1/25/17,na,na,URL,"expire, login, reactive",Y,"Berkeley Security
University of California, Berkeley
510-643-6957","['Unfeignedly,']",dapatel@berkeley.edu,na,B
['Update Portal vein'],"['The Human Resources / Payroll Department has completed the final paystub change for 2017 taxation year. To view the changes to your paystub information and view / download your W - 2 forms (2014 - 2016 tax years ), go to: Adp Portal We desire you find the changes to your paystub information utile and welcome any comments you may have.']",24 Jan 2017Ê,13:31:49,Tue,ADP portal,"tax, update",Y,na,"['Yours Sincerely,']",director.stics@boyaca.gov.co,na,NB
['FedEx Shipment Update'],"['Love Customer, We could not deliver your item. You can review and print complete details of shipping duty on your order. Thanks']",1/3/17,na,Tue,PDF Attachment:  update_Form.pdf,"shipment, update",Na,na,['Thanks'],xxxxxx@berkeley.edu,FedEx,B
['ÊImportant Proclamation from Chancellor St. nicholas Barn. Dirks'],"['Effective Sunup George berkeley Family, Please read attached for an important promulgation from Chancellor Nicholas B. Dirk']",12/14/16,8:55 AM,Wed,1 attachment: shared Document.pdf,"important, chancellor",Y,"

Chancellor","['Thanks,']",penweltm@miamioh.edu,na,B
['Electronic mail Account Upgrade'],"['Dear User, Someone else was trying to use your Berkeley ID to contract into iCloud via a web browser. Day of the month and Time: 28 October 2016, ane: 38 PM Browser: Firefox Operating Organization: Windows Location: Thailand If the information above looks conversant, you can disregard this email. If you have not late and believe someone may be trying to access your explanation, you should Click Here <hypertext transfer protocol: / / goo. gl / rk87KW >.']",Ê10/28/2016Ê,4:38 PM,na,Plain url,upgrade,Y,Technical Support Team,"['Unfeignedly,']",Êitcsshelp@berkeley.edu,na,B
['Temporary Activity'],"['From: BankOfAmerica Subject: Maverick Activity Date: 10 / 20 / 2016 7: 27 AM We have detected irregular activity on your account on the particular date 10 / 20 / 2016. For your protection, we have temporary limited your account. In order to regain total access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment, open it and follow the steps to aver your account. One time completed, please allow up to 48h to update. Copyright © 2016 BankOfAmerica, All rights reserve IrregularActivityFile. html']",10/20/16,7:27 AM,na,Plain url,"protection, update, irregular activity",Y,"Copyright © 2016 BankOfAmerica, All rights reserve",['atomic number 11'],na,na,B
['Messages control Locky malware'],"['How do you do, Please sign the attached contract with our technical service company for 2016 ð 2017. We would appreciate your speedy response.']",24 Aug 2016Ê,20:29:58,Wed,na,financial,Y,(Digital-Signature: f0a0e01386d19b03736165288026cc97e325560c78700e95),"['King regards,']",ÊCurtis.8271@brasiltelecom.net.br,na,B
