Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To,email_text
KSU Email Notification,email notification regarding fedaral law violation and identity and verification,"May 3rd, 2019",6.09PM,Fri,URL Redacted,"verificationerror, violates, ",Y,Y,"Sincerely,",Y,na,B,ksu email notification email notification regarding fedaral law violation and identity and verification
"ÊDear Web-mail User,","remail pending for database upgrade, validate emial account","ÊMay 3rd, 2019",6.39PM,fri,na,"validate, required, upgrade, ",Y,Y,Thanks,Y,na,B,dear webmail user remail pending for database upgrade validate emial account
Remittance Payment Advice,attched payment details,"May 2nd, 2019",12.42pm,thur,ACH-Payment.PDf,payment,na,na,Regards,na,na,B,remittance payment advice attched payment details
Nancy Smith is inviting you to collaborate on Project Docs,Project docs,"May 2nd, 2019",11.15.53am,thur,pdf ,"project, education",na,na,Thanks,na,Microsoft,B,nancy smith is inviting you to collaborate on project docs project docs
Project LR342 Quote Request,"project work share, collaboration","ÊMay 1st, 2019",7.14am,wed,link,"peoject, education, request",na,na,na,na,na,B,project lr quote request project work share collaboration
ÊPet Sitter Job,job pet sitter,"ÊMay 1st, 2019",11.53am,wed,na,employment,na,na,na,na,na,B,pet sitter job job pet sitter
"Kent Validation Request on May 01, 2019, 03:00 AM","secuirty update, recommend to validate","ÊMay 1st, 2019",03.00am,wed,validate now,"security, validate, request",Y,Y,Regards,Y,Microsofr,B,kent validation request on may    am secuirty update recommend to validate
(1) Your account has been limited. ID: #R5131.6D9R406MH,office account has limited for payment failing,"April 30th, 2019",5.12.30pm,tue,sign in to customer portal,"limited, validate, account,failed,transaction",Y,Y,"Best Regards,",Y,office 365,B, your account has been limited id rdrmh office account has limited for payment failing
ADVICE OF DEBIT - BANK CONFIDENTIAL,schedule payment in bank in personal checkin account,"April 29th, 2019",12.03pm,mon,URL Redacted,"payment,account, confidential",Y,Y,"Respectfully yours,",Y,na,B,advice of debit  bank confidential schedule payment in bank in personal checkin account
Message - Time 0:55 Seconds,ausio attached with link,"ÊApril 26th, 2019",1.23,fri,play,na,Y,Y,na,Y,na,B,message  time  seconds ausio attached with link
ÊKent Admin #O38A3S#,mandatory account review process,"April 26th, 2019",2.37pm,Fri,confirm now,"mandatory, acount, require, admin, incorrect",Y,Y,na,Y,Microsoft,B,kent admin oas mandatory account review process
Invoice for Service,invoiced for completed work,"ÊApril 26th, 2019",12.00pm,fri,URL Redacted,"invoice, payment",Y,Y,na,Y,na,B,invoice for service invoiced for completed work
P_nd_ng Document,onedrive pending doc,"ÊApril 25th, 2019",10.20am,thur,view document,document,y,Y,na,Y,na,B,pndng document onedrive pending doc
Ê[IMPORTANCE] Login Review Required On Kent Email Account,verify password for login interruption,"ÊApril 25th, 2019",10.15.29am EDT,na,confirm now,"verify, account,interruption",Y,Y,na,Y,Microsoft,B,importance login review required on kent email account verify password for login interruption
ÊPaperWorks,document sharepoint,"April 23rd, 2019",2.41pm,tue,nview document,"share, education, ",Y,Y,"Sincerely,",na,sSharePoint,B,paperworks document sharepoint
"Kent Request Created on 23 April, 2019 ID: #5KGI6T#","Due to request, you created ID, we need to validate ","ÊApril 23rd, 2019",10.57am,Tue,confirm now,"validate, request,",Y,Y,na,Y,Microsoft,B,kent request created on  april  id kgit due to request you created id we need to validate 
RE: You're about to lose access to your Office subscription,subscription offcie 365,"April 22nd, 2019",2.03am edt,na,renew now,"subscription, disable, access, admin, payment",Y,Y,na,Y,Office365,B,re youre about to lose access to your office subscription subscription offcie 
(1) Failed to process your Credit Card,credir card process failure,"April 17th, 2019",5.56pm,wed,sign in to customer portal,"finance, payment, transaction, invoice, failed, ",Y,Y,"Best Regards,",Y,offcie 365,B, failed to process your credit card credir card process failure
Easiest way to claim $1000?,clain money by watching videos,"April 17th, 2019",12.47pm EDT,na,click here to watch the instructional video,"clain, money, ",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,easiest way to claim  clain money by watching videos
The Dwyer Group N0TlFlCATl0N,shared document,"April 16th, 2019",11.55am,tue,open,"notification, share",Y,Y,na,Y,na,B,the dwyer group ntlflcatln shared document
"ÊJason Downing shared ""Proposal_(1)"" with you.",doc shared,"April 16th, 2019",12.52pm,tue,open,"share, doc, education",Y,Y,na,Y,Microsoft,B,jason downing shared proposal with you doc shared
"Kent Service U_d_t_ 15 April, 2019 RefID:XYO2OH",validating account,"April 16th, 2019",3.22pm,tue,confirm now,"share, validate, account, deactivate",Y,Y,na,Y,na,B,kent service udt  april  refidxyooh validating account
ÊKent Request Created,validating email account,"April 16th, 2019",4.23am,tue,confirm now,"validate, account, request",Y,Y,na,Y,na,B,kent request created validating email account
NEED URGENT QUOTE,cargo need to shio from your country to china asap,"  April 15th, 2019",5.10am,mon,na,urgent,na,na,na,na,na,B,need urgent quote cargo need to shio from your country to china asap
Payroll,attached document for payroll,"ÊApril 11th, 2019",7.17pm,thur,URL Redacted,"tax, payroll, doc",Y,Y,na,Y,na,B,payroll attached document for payroll
ÊCoaching service,coaching service available ,"April 10th, 2019",11.30am,wed,na,service,Y,Y,Thanks,Y,na,B,coaching service coaching service available 
MESSAGE ALERT,doc and audio ,"April 10th, 2019",10.22am,wed,apen attch to play/view message,"doc, share, alert",Y,Y,na,Y,SharePoint,B,message alert doc and audio 
A document has been sent to you via eÄ_x Online,Document sent online,"April 9th, 2019",11.35am,tue,clickhere,"share, sent, access, document",na,na,na,na,eFax,B,a document has been sent to you via ex online document sent online
ÊInitial Closing Disclosure - Escrow #7258300 / 3061 Vaughn Street,encrypted message,"April 9th, 2019",2.28pm,tue,click here to open,encrypted,na,na,na,na,na,B,initial closing disclosure  escrow    vaughn street encrypted message
Server Notification for Kent Alert,server detect undelivered emals. Malfucntions and termination,"April 8th, 2019",5.55am,mon,na,"active, termination, alert, notification, required, malfunction",Y,Y,na,Y,na,B,server notification for kent alert server detect undelivered emals malfucntions and termination
message notification,pdf ,"April 8th, 2019",8.16pm,mon,download: Outstanding invoice.pdf,"notification, share, invoice, admin",Y,Y,na,Y,na,B,message notification pdf 
"[IMPORTANCE] Password Confirmation Required On kent.edu April 5, 2019, 7:29 PM Report Refrence Acc ID :35878U9LC8","one time confirmation, avoid login interruption, password verification","April 5th, 2019",3.29pm,fri,confirm,"verification, interrution, account, required, avoid, confirmation",Y,Y,na,Y,Microsoft,B,importance password confirmation required on kentedu april    pm report refrence acc id ulc one time confirmation avoid login interruption password verification
ÊMarch Statement - Kent,payroll has been submitteed. ,"April 5th, 2019",5.18pm,fri,URL Redacted,"payroll, statement, admin",Y,Y,na,Y,na,B,march statement  kent payroll has been submitteed 
ÊRE: Your Office 365 Business Essentials Bill is ready,"office365 is ready. Payment, credit card","April 4th, 2019",11.46am,thur,Sign in to customer portal,"account, payment,",Y,Y,Thank you,Y,offcie 365,B,re your office  business essentials bill is ready office is ready payment credit card
[Important] Login Review On Kent Users,microsoft password review,"ÊApril 2nd, 2019",12.53pm,tue,confirm now,"account, confirm, verification, interruptiom",Y,Y,na,Y,Microsoft,B,important login review on kent users microsoft password review
New Fax Message Fax. com Report[11],find attachment,"April 1st, 2019",1.30pm,mon,na,doc,Y,Y,na,Y,na,B,new fax message fax com report find attachment
Coaching Inquiry,coaching my son,"March 31st, 2019",11.02am,sun,na,"inquiry, employment",Y,Y,Thanks,Y,na,B,coaching inquiry coaching my son
Job,resume attached,"March 30th, 2019",11.44am,sat,na,"job, employment",Y,Y,na,Y,na,B,job resume attached
From The Desk Of Mr William C.Dudley,"federal reserve bank, record of outstanding payment with federal government, ","March 30th, 2019",11.18am,sat,na,"payment, bank, federal, requested",Y,Y,"Sincerely,",Y,na,B,from the desk of mr william cdudley federal reserve bank record of outstanding payment with federal government 
New fax from: Fax Service....,new fax,"March 29th, 2019",8.57am,fri,fead your fax,"enclosed, processed, received",na,na,na,na,na,B,new fax from fax service new fax
ÊMake Kent State Home,message,"ÊMarch 27th, 2019",5.41am,wed,read this message,doc,Y,Y,Yours in Servic,Y,na,B,make kent state home message
3/26 *** Due,pdf file,"March 26th, 2019",1.52pm,tue,file ,shared doc,na,na,na,Y,Premier1,B,  due pdf file
